Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C2, C3, C4, C7, C8, C9",C0402,8,0.1uF,
"C10, C11, C12",C0402,3,1uF,
C13,C0402,1,0.47uF,
"C5, C6",C0603,2,4.7uF,
CDONE0,CHIP-LED0603,1,LEDCHIP-LED0603,
"J3, J4, J5",2X6_NOSILK,3,2X6 FEMALE,
R1,R0603,1,10k,
R2,R0402,1,10k,
RGB0,LED_UHD1110-FKA-CL1A13R3Q1BBQFMF3,1,UHD1110-FKA-CL1A13R3Q1BBQFMF3,
S1,SW_KSR223GLFG,1,KSR223GLFG,
U$1,FEATHER_PINS,1,FEATHER_BASE,
U1,QFN50P700X700X100-49N,1,ICE5LP1K-SG48ITR,
"U2, U3",DBV5_TEX-L,2,TLV75533PDBVRDBV5_TEX-L,
